faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.544854,82,174,2.12195,301,3.67073,12,5,0.90106,0.872792,0.82317,135,0.193548,0.222222,61,20222023,29.84146,32.96341,Boston Bruins,6,7,,65,54,4
0.528568,82,210,2.56097,262,3.19512,21,9,0.886718,0.84375,0.68902,113,0.173913,0.197628,48,20222023,26.0,34.78048,Carolina Hurricanes,12,9,,52,39,4
0.512613,82,222,2.70731,289,3.52439,22,8,0.865217,0.826087,0.68292,112,0.183035,0.21875,50,20222023,28.2317,34.40243,New Jersey Devils,1,4,,52,39,2
0.522547,82,225,2.7439,267,3.25609,22,9,0.825641,0.774359,0.67682,111,0.183574,0.202898,46,20222023,30.89024,31.54878,Vegas Golden Knights,54,3,,51,38,5
0.530917,82,220,2.68292,278,3.39024,21,11,0.850806,0.818549,0.67682,111,0.227642,0.260162,49,20222023,29.51219,32.04878,Toronto Maple Leafs,10,5,,50,42,1
0.46708,82,223,2.71951,274,3.34146,24,7,0.814516,0.790323,0.66463,109,0.226053,0.24521,45,20222023,30.96341,33.25609,Colorado Avalanche,21,6,,51,36,6
0.508183,82,256,3.12195,325,3.96341,23,9,0.834532,0.769785,0.66463,109,0.298181,0.323636,50,20222023,31.36585,33.58536,Edmonton Oilers,22,2,,50,45,0
0.547534,82,215,2.62195,281,3.42682,21,14,0.876033,0.834711,0.65853,108,0.230468,0.25,43,20222023,29.90243,31.91463,Dallas Stars,25,6,,47,39,4
0.490672,82,216,2.63414,273,3.32926,22,13,0.847533,0.81166,0.65243,107,0.220408,0.240816,43,20222023,29.32926,31.4878,New York Rangers,3,4,,47,37,4
0.533245,82,254,3.09756,274,3.34146,25,10,0.784386,0.758365,0.63414,104,0.21933,0.252788,41,20222023,27.91463,32.41463,Los Angeles Kings,26,3,,47,37,6
0.476825,82,219,2.67073,239,2.91463,25,11,0.875,0.820313,0.62804,103,0.20238,0.214285,39,20222023,31.12195,30.91463,Minnesota Wild,30,5,,46,34,7
0.453156,82,252,3.07317,289,3.52439,28,8,0.792372,0.76695,0.60975,100,0.160493,0.19753,46,20222023,27.01219,30.45121,Seattle Kraken,55,3,,46,37,0
0.516375,82,252,3.07317,280,3.41463,30,6,0.823754,0.796935,0.59756,98,0.214285,0.253571,43,20222023,31.4878,31.96341,Tampa Bay Lightning,14,6,,46,38,3
0.489356,82,224,2.7317,246,3.0,33,3,0.853556,0.824268,0.57926,95,0.17037,0.192592,45,20222023,30.32926,30.31707,Winnipeg Jets,52,4,,46,36,1
0.517256,82,217,2.64634,242,2.95121,31,9,0.849315,0.821918,0.56707,93,0.126126,0.157657,41,20222023,31.02439,30.78048,New York Islanders,2,8,,42,36,1
