faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.511256,81,197,2.43209,296,3.65432,16,11,0.853448,0.844828,0.73456,119,0.123552,0.173745,50,20252026,26.18518,33.71604,Colorado Avalanche,21,7,,54,47,4
0.501205,82,236,2.87804,291,3.54878,22,7,0.857142,0.805195,0.68902,113,0.232365,0.248962,48,20252026,23.92682,32.15853,Carolina Hurricanes,12,3,,53,39,5
0.5166,81,219,2.7037,270,3.33333,20,12,0.817073,0.800814,0.67901,110,0.261224,0.285714,44,20252026,26.18518,25.25925,Dallas Stars,25,5,,49,38,5
0.458099,81,237,2.92592,280,3.45679,23,8,0.864628,0.820961,0.66666,108,0.172839,0.19753,45,20252026,29.07407,28.17283,Buffalo Sabres,7,5,,50,42,5
0.473907,81,225,2.77777,284,3.50617,25,6,0.85098,0.827451,0.65432,106,0.185185,0.209876,46,20252026,26.76543,28.07407,Tampa Bay Lightning,14,2,,50,40,4
0.509786,82,251,3.06097,279,3.40243,24,10,0.814516,0.782259,0.64634,106,0.214876,0.231404,44,20252026,27.82926,26.29268,Montréal Canadiens,8,1,,48,34,4
0.466382,82,235,2.86585,268,3.26829,24,12,0.830985,0.798123,0.63414,104,0.236434,0.251937,42,20252026,29.40243,29.18292,Minnesota Wild,30,8,,46,31,4
0.530607,82,247,3.01219,268,3.26829,27,10,0.776978,0.769785,0.60975,100,0.195744,0.234042,41,20252026,29.69512,27.02439,Boston Bruins,6,3,,45,33,4
0.494852,82,239,2.91463,240,2.92682,27,12,0.804081,0.775511,0.59756,98,0.119148,0.157446,33,20252026,25.45121,25.46341,Philadelphia Flyers,4,0,,43,27,10
0.482095,82,258,3.14634,290,3.53658,25,16,0.839662,0.814346,0.59756,98,0.189655,0.241379,38,20252026,27.36585,28.57317,Pittsburgh Penguins,5,4,,41,34,3
0.544776,81,244,3.01234,272,3.35802,27,11,0.789699,0.755365,0.59876,97,0.211538,0.234615,40,20252026,24.45679,28.80246,Ottawa Senators,9,4,,43,37,3
0.493212,82,238,2.90243,261,3.18292,30,9,0.816733,0.800797,0.57926,95,0.13278,0.178423,41,20252026,28.13414,28.04878,Washington Capitals,15,5,,43,37,2
0.509094,81,241,2.9753,260,3.20987,26,17,0.843137,0.813726,0.57407,93,0.222222,0.247863,37,20252026,24.4074,29.02469,Vegas Golden Knights,54,3,,38,29,1
0.492258,81,235,2.90123,265,3.2716,32,6,0.813008,0.780488,0.5679,92,0.186956,0.2,43,20252026,26.11111,27.76543,Utah Mammoth,68,3,,43,33,0
0.509355,81,246,3.03703,238,2.93827,30,10,0.789473,0.77512,0.5679,92,0.208163,0.228571,39,20252026,27.74074,28.2716,Detroit Red Wings,17,5,,41,30,2
0.50568,82,251,3.06097,246,3.0,30,12,0.782805,0.760181,0.56097,92,0.164179,0.189054,33,20252026,28.84146,29.39024,Columbus Blue Jackets,29,3,,40,28,7
0.526467,82,236,2.87804,229,2.79268,34,5,0.850467,0.808412,0.55487,91,0.128099,0.165289,39,20252026,27.69512,28.17073,New York Islanders,2,9,,43,29,4
0.524779,81,264,3.25925,276,3.4074,30,11,0.804545,0.777273,0.56172,91,0.269406,0.301369,40,20252026,26.88888,29.67901,Edmonton Oilers,22,5,,40,31,0
0.479626,81,284,3.50617,260,3.20987,33,6,0.8,0.768628,0.55555,90,0.16279,0.186046,34,20252026,28.45679,30.69135,Anaheim Ducks,24,0,,42,25,8
0.498162,81,235,2.90123,219,2.7037,26,20,0.776371,0.746836,0.55555,90,0.139639,0.171171,30,20252026,27.25925,28.01234,Los Angeles Kings,26,6,,35,22,5
0.505188,82,253,3.08536,226,2.75609,37,3,0.826923,0.79327,0.53048,87,0.2,0.219512,38,20252026,27.36585,29.58536,New Jersey Devils,1,2,,42,29,4
0.504899,81,262,3.23456,238,2.93827,33,10,0.85,0.816667,0.53086,86,0.217021,0.225531,33,20252026,29.49382,27.95061,Nashville Predators,18,1,,38,28,5
