faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.522617,82,226,2.75609,278,3.39024,23,4,0.87931,0.844828,0.69512,114,0.239837,0.264227,51,20232024,29.4878,31.4878,New York Rangers,3,6,,55,43,4
0.540144,82,232,2.82926,294,3.58536,21,9,0.870292,0.820084,0.68902,113,0.225,0.241666,48,20232024,28.65853,31.56097,Dallas Stars,25,4,,52,40,4
0.525654,82,211,2.57317,277,3.37804,23,7,0.906976,0.864342,0.67682,111,0.236947,0.269076,50,20232024,25.62195,33.32926,Carolina Hurricanes,12,8,,52,44,2
0.512679,82,198,2.41463,265,3.2317,24,6,0.852233,0.824743,0.67073,110,0.201492,0.235074,49,20232024,27.79268,33.70731,Florida Panthers,13,8,,52,42,3
0.475866,82,198,2.41463,259,3.15853,24,6,0.784753,0.771301,0.67073,110,0.166666,0.1875,52,20232024,29.62195,30.34146,Winnipeg Jets,52,8,,52,46,0
0.521312,82,221,2.69512,279,3.40243,23,9,0.818897,0.791339,0.66463,109,0.199218,0.226562,50,20232024,28.57317,28.39024,Vancouver Canucks,23,7,,50,44,0
0.495045,82,221,2.69512,263,3.20731,20,15,0.850746,0.824627,0.66463,109,0.19753,0.222222,43,20232024,30.53658,29.25609,Boston Bruins,6,5,,47,36,4
0.47944,82,252,3.07317,302,3.68292,25,7,0.825757,0.799243,0.65243,107,0.223021,0.244604,48,20232024,29.80487,32.9878,Colorado Avalanche,21,4,,50,42,2
0.532288,82,236,2.87804,292,3.56097,27,6,0.821705,0.794574,0.63414,104,0.242798,0.263374,47,20232024,28.13414,33.75609,Edmonton Oilers,22,4,,49,39,2
0.534512,82,261,3.18292,298,3.63414,26,10,0.794117,0.768908,0.62195,102,0.20168,0.239495,41,20232024,29.82926,32.57317,Toronto Maple Leafs,10,5,,46,33,5
0.503536,82,248,3.02439,266,3.2439,30,5,0.79757,0.769231,0.60365,99,0.197026,0.215613,44,20232024,30.57317,32.21951,Nashville Predators,18,4,,47,38,3
0.505976,82,210,2.56097,254,3.09756,27,11,0.889328,0.84585,0.60365,99,0.19758,0.225806,42,20232024,28.0,31.90243,Los Angeles Kings,26,7,,44,37,2
0.517539,82,267,3.25609,288,3.51219,29,8,0.8547,0.833334,0.59756,98,0.262096,0.28629,42,20232024,29.63414,29.28048,Tampa Bay Lightning,14,4,,45,37,3
0.501952,82,243,2.96341,263,3.20731,29,8,0.83568,0.793428,0.59756,98,0.170634,0.20238,41,20232024,30.32926,31.07317,Vegas Golden Knights,54,3,,45,34,4
0.51265,82,258,3.14634,245,2.9878,27,16,0.76018,0.714933,0.57317,94,0.190476,0.203463,38,20232024,32.75609,30.12195,New York Islanders,2,5,,39,29,1
0.499003,82,248,3.02439,234,2.85365,33,6,0.84186,0.790698,0.56097,92,0.152,0.18,38,20232024,32.14634,28.90243,St. Louis Blues,19,4,,43,31,5
0.505829,82,273,3.32926,275,3.35365,32,9,0.825,0.795834,0.55487,91,0.194139,0.230769,38,20232024,32.40243,28.96341,Detroit Red Wings,17,4,,41,27,3
0.466535,82,252,3.07317,216,2.63414,31,11,0.802575,0.7897,0.55487,91,0.18421,0.20614,36,20232024,30.52439,26.4878,Washington Capitals,15,7,,40,32,4
0.546383,82,248,3.02439,253,3.08536,32,12,0.82716,0.806585,0.53658,88,0.10687,0.152671,36,20232024,30.2317,32.7439,Pittsburgh Penguins,5,8,,38,32,2
0.473127,82,260,3.17073,248,3.02439,34,9,0.756653,0.745248,0.53048,87,0.186813,0.227106,36,20232024,29.71951,30.13414,Minnesota Wild,30,6,,39,32,3
0.496789,82,258,3.14634,231,2.81707,33,11,0.900414,0.834025,0.53048,87,0.106299,0.122047,34,20232024,27.13414,33.02439,Philadelphia Flyers,4,5,,38,30,4
0.450241,82,243,2.96341,244,2.9756,37,6,0.82716,0.798354,0.51219,84,0.121076,0.165919,37,20232024,29.29268,30.90243,Buffalo Sabres,7,5,,39,33,2
0.535349,82,281,3.42682,264,3.21951,39,5,0.81893,0.806585,0.4939,81,0.187755,0.224489,38,20232024,29.9756,30.68292,New Jersey Devils,1,1,,38,33,0
0.496267,82,267,3.25609,253,3.08536,39,5,0.853061,0.808164,0.4939,81,0.13492,0.178571,38,20232024,29.7317,31.36585,Calgary Flames,20,2,,38,32,0
0.475171,82,232,2.82926,214,2.60975,35,13,0.815315,0.788289,0.4939,81,0.169421,0.206611,31,20232024,29.15853,28.62195,Seattle Kraken,55,5,,34,28,3
0.509871,82,281,3.42682,250,3.04878,41,4,0.779591,0.751021,0.4756,78,0.15901,0.180212,32,20232024,29.65853,31.7317,Ottawa Senators,9,2,,37,25,5
0.450821,82,274,3.34146,254,3.09756,41,5,0.789473,0.763158,0.46951,77,0.190871,0.219917,34,20232024,31.68292,27.71951,Arizona Coyotes,53,7,,36,28,2
0.514563,82,281,3.42682,232,2.82926,36,16,0.789855,0.764493,0.46341,76,0.126984,0.174603,26,20232024,33.39024,27.67073,Montréal Canadiens,8,2,,30,20,4
0.472216,82,298,3.63414,234,2.85365,43,12,0.783898,0.762712,0.40243,66,0.122641,0.150943,24,20232024,34.41463,29.9756,Columbus Blue Jackets,29,1,,27,21,3
0.466475,82,293,3.57317,203,2.4756,50,5,0.760606,0.724243,0.35975,59,0.157446,0.178723,26,20232024,32.51219,26.75609,Anaheim Ducks,24,1,,27,21,1
0.462608,82,289,3.52439,178,2.17073,53,6,0.770562,0.757576,0.31707,52,0.131914,0.165957,22,20232024,32.69512,26.25609,Chicago Blackhawks,16,1,,23,17,1
0.490405,82,326,3.9756,180,2.19512,54,9,0.765873,0.753969,0.28658,47,0.163461,0.201923,18,20232024,35.13414,25.2317,San Jose Sharks,28,2,,19,14,1
