team,season,goalie_gsax,goalie_sv_pct
ANA,20242025,11.08198981855286,0.9062208684381166
BOS,20242025,-3.6766375242618135,0.8956468824611434
BUF,20242025,-3.303301793374783,0.8912314992118918
CAR,20242025,2.4484787592441832,0.8948772123044866
CBJ,20242025,-1.6650625747754149,0.8974000703249224
CGY,20242025,9.508116815086435,0.9089437225826608
CHI,20242025,1.5786564318453955,0.8982571528833738
COL,20242025,6.908509973770792,0.9084842951948903
DAL,20242025,9.711619980059284,0.9133275451209797
DET,20242025,3.1664641808147778,0.8986576983410897
EDM,20242025,-4.423707866505726,0.8982150223878755
FLA,20242025,2.2552086228353145,0.9012953535520308
LAK,20242025,9.414159064810834,0.9106300332910366
MIN,20242025,8.285678491400137,0.911022658152393
MTL,20242025,13.382955485423114,0.8974161234813317
NJD,20242025,5.251570764880612,0.9070580626329069
NSH,20242025,-8.325205612287844,0.8935828668217753
NYI,20242025,10.70025271536216,0.902671057437701
NYR,20242025,11.454367453969853,0.9027969904753806
OTT,20242025,5.301438426544995,0.910769419032838
PHI,20242025,-14.286569436044367,0.8815661352318541
PIT,20242025,-2.75029420887954,0.895248272753327
SEA,20242025,5.959470619275567,0.8984525377330848
SJS,20242025,-10.306641469439231,0.8796371970776078
STL,20242025,3.3423327165263594,0.9054041003013674
TBL,20242025,19.11474210746003,0.9132931719629614
TOR,20242025,14.73014321510787,0.9155407159726454
UTA,20242025,7.644003460137732,0.8997962413802605
VAN,20242025,-1.331233515789472,0.8959015450721322
VGK,20242025,7.91071663828909,0.9055971408266393
WPG,20242025,27.008237421889554,0.9249047271440825
WSH,20242025,9.924780561091833,0.9019504350196182
